@id	name	ele	@lat	@lon
10777129155	Gemeindeberg	621	48.9565800	13.0840087
10777129159	Schloßberg	602	48.9457578	13.0947643
10780565660	Feldbühl	798	48.8494816	13.0659413
10780600169	Tannenberg	798	48.8652723	13.0514789
10780600227	Geßinger Berg	562	48.8405570	13.0479169
10780602005	Furth	704	48.8544163	13.0312443
10780602314	Steinbühl	472	48.8557964	13.0777699
10792517556	Schlottberg	434	48.7996521	13.0236965
10792517557	Streubügel	422	48.8041783	13.0002165
10792539945	Hengersberg	382	48.7892448	13.0557489
10792540246	Breitenberg	547	48.8377395	12.9948091
10793518626	Raubühl	437	48.8171646	13.0709410
10793518638	Steinbühl	472	48.8115692	13.0607593
10793553781	Steinbühl	542	48.8244547	13.0645895
10793574124	Scheibenbühl	445	48.8350207	13.0727541
10794899112	Spielberg		48.8442146	13.1158197
10794917344	Abesberg	438	48.8369627	13.1401527
10794917346	Langberg		48.8367402	13.1236303
10795176553	Birkenberg	421	48.8169386	13.1007242
10795248634	Tannbühl	818	48.8860249	13.1077731
10796085192	Hürstein	578	48.8551928	13.1066465
10796085196	Michelsbühl	502	48.8516278	13.1105679
10797291054	Regener Berg	712	48.8774949	13.1627798
10797291055	Aibenberg	722	48.8752087	13.1639707
10797320169	Ranzinger Vorberg	736	48.8708688	13.1427920
